year,n,share
2003,1,0.0034602076124567475
2004,2,0.006920415224913495
2005,1,0.0034602076124567475
2006,5,0.01730103806228374
2007,1,0.0034602076124567475
2008,2,0.006920415224913495
2009,2,0.006920415224913495
2010,6,0.020761245674740483
2011,79,0.27335640138408307
2012,54,0.18685121107266436
2013,13,0.04498269896193772
2014,13,0.04498269896193772
2015,12,0.04152249134948097
2016,16,0.05536332179930796
2017,33,0.11418685121107267
2018,20,0.06920415224913495
2019,8,0.02768166089965398
2020,1,0.0034602076124567475
2021,2,0.006920415224913495
2022,3,0.010380622837370242
2023,4,0.01384083044982699
2024,5,0.01730103806228374
2025,6,0.020761245674740483
